Hogar, Juguetería y Librería > Hogar > Cocina y Mesa		none	231
Licores, Bebidas y Aguas > Vinos > Vinos Tintos	licores-bebidas-y-aguas/vinos/vinos-tintos	exact	207
Despensa > Aceites, Sal y Condimentos > Condimentos	despensa/aceites-sal-y-condimentos/condimentos	exact	140
Cuidado Personal y Bebé > Cuidado Capilar > Shampoo	cuidado-personal-y-bebe/cuidado-capilar	prefix	98
Licores, Bebidas y Aguas > Jugos > Jugos y Néctar	licores-bebidas-y-aguas/jugos/jugos-y-nectar	exact	94
Frutas y Verduras > Verduras > Verdura	frutas-y-verduras/verduras	prefix	92
Limpieza > Accesorios de Limpieza > Guantes, Esponjas y Paños	limpieza/accesorios-de-limpieza/guantes-esponjas-y-panos	exact	89
Licores, Bebidas y Aguas > Cervezas > Cervezas Tradicionales	licores-bebidas-y-aguas/cervezas/cervezas-tradicionales	exact	80
Despensa > Fideos, Pastas y Salsas > Pastas y Fideos	despensa/fideos-pastas-y-salsas/pastas-y-fideos	exact	76
Cuidado Personal y Bebé > Bebé > Perfumería Infantil	cuidado-personal-y-bebe/bebe/perfumeria-infantil	exact	71
Quesos y Fiambres > Quesos > Especiales y Tablas de Quesos	quesos-y-fiambres/quesos/especiales-y-tablas-de-quesos	exact	69
Chocolates, Galletas y Snacks > Chocolates > Chocolates en Barra	chocolates-galletas-y-snacks/chocolates/chocolates-en-barra	exact	65
Despensa > Aderezos y Salsas > Aderezos, Salsas Soya y Otros	despensa/aderezos-y-salsas/aderezos-salsas-soya-y-otros	exact	64
Cuidado Personal y Bebé > Cuidado Capilar > Acondicionadores	cuidado-personal-y-bebe/cuidado-capilar/acondicionadores	exact	63
Hogar, Juguetería y Librería > Librería y Escolares > Lápices, Plumones y Destacadores		none	63
Carnes y Pescados > Vacuno > Carnes de Uso Diario	carnes-y-pescados	prefix	62
Licores, Bebidas y Aguas > Espumantes y Sidras	licores-bebidas-y-aguas/espumantes-y-sidras	exact	56
Lácteos, Huevos y Congelados > Leches > Leche Líquida	lacteos-huevos-y-congelados/leches/leche-liquida	exact	56
Mascotas > Perros > Snacks, Salsas y Huesos	mascotas/perros/snacks-salsas-y-huesos	exact	56
Licores, Bebidas y Aguas > Cervezas > Cervezas Artesanales	licores-bebidas-y-aguas/cervezas/cervezas-artesanales	exact	55
